"allsponsors","Freq"
"medicor foundation",1
"medicsight",1
"medieval settlement research group",1
"medimmune",2
"medtronic",2
"mehran university",2
"mel",1
"melville charitable trust",1
"membrane biophysics platform grant",1
"memscap",1
"menieres society",1
"menzies foundation",1
"merck",1
"merck chemicals ltd",1
"merck co",1
"merck sharp dohme limited",1
"merck uk",1
"merific",1
"merseycare nhs trust",1
"merseyside fire rescue service",1
"merton college",3
"messier dowty ltd",1
"met office",5
"methodist church great britain",1
"mexican council science technology",7
"mexican government",2
"mexican mathematical society",1
"mexican ministry education",1
"mexico",17
"mexico city",1
"mfk foundation community development",1
"mhra",1
"michael j fox foundation",2
"michigan state university",1
"microdis consortium",1
"microelectronics nanostructures group",1
"microsoft research",15
"microtest matrices",1
"microturbosafran group",1
"middlesex university business school",1
"midland fertility services",1
"midland valley exploration ltd",1
"midlands physics alliance graduate school",1
"midwifery",1
"midwifery social work",1
"migration research programme koc university",1
"mike lind rank",1
"milan",1
"millar-mackenzie trust",1
"miltenyi biotec",1
"mindchild medical inc",1
"minelco ltd",1
"mineralogical society",1
"minerals",1
"minerals engineering society",1
"minerals mining",2
"minimal access therapy training unit",1
"mining",1
"ministarstvo omladine sporta",1
"ministe´rio da educac¸o e ciencia doctoral research grant",1
"ministerie van defensie",1
"ministerio de asuntos exteriores y cooperación agencia española",1
"ministerio de ciencia e innovacio´n",1
"ministry communication information",1
"ministry culture",2
"ministry defence",14
"ministry education",44
"ministry education chile",1
"ministry education culture",7
"ministry education malaysia",5
"ministry education namibia",1
"ministry education science",2
"ministry education taiwan",2
"ministry education training",3
"ministry energy",2
"ministry finance",1
"ministry foreign affairs",1
"ministry health",14
"ministry high education",269
"ministry interior",3
"ministry justice",2
"ministry manpower",3
"ministry mines energy",1
"ministry national education",22
"ministry petroleum resources",2
"ministry presidential affairs ue",1
"ministry public administration trinidad tobago",1
"ministry public education",2
"ministry public health",2
"ministry research",6
"ministry science",18
"ministry social justice empowerment",1
"ministry turkish national education",1
"minstery higher eduction",2
"mit",1
"mitsubishi heavy industries",1
"mitsubishi ufj securities international plc",1
"mluri",1
"mnd scotland",1
"mod",4
"modern biosciences",1
"modern built environment knowledge transfer network",1
"mohamed al-aali",1
"mohe",1
"mohe malaysia",1
"mohesr",1
"molecular organisation assembly cells",1
"molecular vision ltd",1
"momentum",1
"monash university",1
"monbu kagakusho",1
"mood disorders centre",1
"moonbeam trust",1
"moors future",2
"moredun foundation",1
"moredun research institute",1
"morgan advanced materials",1
"mosaic solutions",1
"mosti",1
"motac neuroscience",1
"motor neurone disease association",2
"motor neurone disease scotland",1
"moulton charitable foundation",2
"moulton college",1
"mps schweiz",1
"mrc ahrc",1
"mrc international nutritional group",1
"mrc midland hub",2
"mrc uk",1
"mrtn-ct-2006-033489",1
"ms ramaiah school advanced studies",1
"ms swaminathan research foundation",1
"ms trust",1
"msd animal health",2
"muassasat al-batru¯l al-kuwayti¯yah",1
"mullerfonds",1
"multan",1
"multi packaging solutions",1
"multidisciplinary assessment technology centre healthcare",1
"multiple sclerosis society",2
"multiprotect",1
"muscade eu project",1
"muscular dystrophy campaign",1
"musculoskeletal biomedical research unit",2
"museum fine art",1
"music entertainment industry educators association",1
"music therapy charity",1
"mutah university",1
"myrovlytis trust",1
"mzumbe university",1
"nabo",1
"nafc marine centre",1
"nagoya daigaku",1
"najah national universitypalestine",1
"nakazawa cati mexico",1
"nalco chemical company",1
"nano-engineered superconductors power application",1
"nanocem",1
"nanofate eu project",1
"nanoparticulate surface adhesion ltd",1
"nanyang technological university",6
"napier university",24
"napoli",1
"narec",1
"naresuan university",2
"narodowe centrum nauki",1
"narsad",1
"national association colitis crohns disease",1
"national audit office",1
"national autistic society",1
"national basic research program china",1
"national cancer action team",1
"national center excellence geology",1
"national centre earth observation",3
"national centre replacement",3
"national centre statistical ecology",1
"national commission science technology",1
"national commission scientific technological research",1
"national consul sciences technology mexico",1
"national coordinating centre",1
"national council science technology",22
"national council scientific technological development",1
"national council training",1
"national endowment science",1
"national energy action",1
"national environmental research council",342
"national foundation scholarships greece",2
"national geographic society young explorers program",1
"national grid",27
"national guard health affairs",2
"national health service",14
"national heart",1
"national heart lung institute",13
"national heart lung institute foundation",4
"national institute academic anaesthesia",2
"national institute allergy infectious diseases",2
"national institute biological standards control",5
"national institute diabetes digestive kidney disease",1
"national institute health research",123
"national institute scientific program",1
"national instruments",1
"national joint registry fellowship",1
"national library scotland",1
"national lobster hatchery",2
"national lottery",1
"national marine aquarium",1
"national maritime museum",2
"national metal materials technology center",1
"national meteorological office",1
"national mps society",1
"national museums scotland",1
"national natural science foundation",2
"national non-food crops centre",1
"national nuclear laboratory",5
"national organisation treatment abusers",1
"national osteoporosis society",1
"national physical laboratory",9
"national physical science consortium",1
"national policy science technology",1
"national polytechnic institute",1
"national research foundation",11
"national roads authority",1
"national science council taiwan",1
"national science foundation",17
"national science technology development agency",1
"national society prevention cruelty children",1
"national space research development agency",1
"national subsea research institute",1
"national training directorate",1
"national trust",5
"national trust scotland",1
"national university ireland",2
"national university science technology",6
"national university singapore",3
"natural england",12
"natural history museum",4
"natural research ltd",2
"natural resources foundation international",1
"natural resources institute",2
"natural resources wales",1
"natural sciences engineering research council canada",6
"nc3rs",1
"ncrf",1
"nda",3
"ne oasis limited",1
"neals yard",1
"nectise",1
"needham research institute",1
"nephew",1
"nerc-ahrc national radiocarbon facility grant",1
"nerc blue skies studentship",1
"nercmcs",1
"nescom",1
"nespa",1
"nesta",1
"nesta allan ferguson trust",1
"nestlé",3
"nestle´",1
"netherlands",4
"netherlands foundation visual arts",1
"netherlands organisation international cooperation higher education",1
"network dynamics simulation science laboratory",1
"network rail",4
"neurodis foundation",1
"neurosketch",1
"new aero engine core concepts",1
"new college durham",1
"new college graduate scholarship",1
"new dynamics ageing programme",1
"new east manchester",1
"new generation biogas",1
"new tools",1
"new writing north",1
"new zealands international aid development agency",1
"newberry library",1
"newby trust ltd",1
"newcastle-upon-tyne nhs trust",1
"newcastle biomedical research centre",3
"newcastle healthcare charity",6
"newcastle hospital trustees",1
"newcastle hospitals special trustees",1
"newcastle neurosurgery foundation",1
"newcastle science city",1
"newcastle university",93
"newcastle upon tyne",6
"newlife foundation disabled children",1
"newnham college",1
"nexen",1
"nexia solutions",1
"nhli fundation",1
"nhs ayrshire arran",1
"nhs blood transplant",1
"nhs central lancashire",1
"nhs education scotland",2
"nhs fife",1
"nhs grampian",5
"nhs highland diabetes research",1
"nhs kidney care",1
"nhs national services scotland",1
"nhs public health",1
"nhs scotland",1
"nhs surrey borders",1
"nhs tayside",2
"nhs trust",2
"nhs west midlands",1
"niab trust",1
"niche project",1
"nicolaides",1
"niger delta development commission",1
"nigeria",56
"nigerian baptist convention",1
"nigerian government",5
"nih",2
"nih-cambridge partnership program",1
"nihnigms-r01gm078293",1
"nihon gakujutsu shinkokai",3
"nihon gakusei shien kiko",1
"nihon superior co",1
"nihr brf fellowship",1
"ninewells hospital medical school",1
"nippon sheet glass company",1
"nips award",1
"nissan motors",3
"nmahp research unit",1
"nment",1
"nnl",1
"nokia",1
"nokia-cambridge strategic partnership nanoscience nanotechnology",1
"nomura",1
"nomura foundation",1
"non funded research",4
"nordic council ministers",1
"norface research programme migration europe social",1
"norges forskningsra°d",2
"norges hjemmefrontmuseum",1
"norman family trust",1
"norsk hydro",1
"norsk pressehistorisk forening",1
"north africa research group",3
"north bangkok",1
"north devon council",1
"north devon district council",1
"north east branch",1
"north east childrens cancer research fund",1
"north east dendron network",1
"north east diabetes trust",1
"north east skin research fund",1
"north east yorkshire humber quality assurance reference centre",1
"north england childrens cancer research fund",2
"north england childrens cancer research group",1
"north hills community church",1
"north tyneside council",1
"northampton general hospital nhs trust",1
"northcott devon medical foundation",1
"northern brainwave appeal",1
"northern counties kidney research",3
"northern gas networks",1
"northern ireland",3
"northern kidney research fund",1
"northern oesophagogastric unit",1
"northern research partnership",3
"northern textile mills",1
"northern vascular research trustees",1
"northumberland",1
"northumberland national park authority",1
"northumbria healthcare foundation nhs trust",1
"northumbria healthcare nhs foundation trust",4
"northumbria healthcare trust",1
"northumbria local criminal justice board",1
"northumbria university",4
"northumbrian water",3
"northwick park hospital leukaemia research trust fund",1
"northwood charitable trust",1
"northwood trust",1
"norton aluminium limited",1
"norway",4
"norwegian geological survey",1
"norwegian marshall fund",1
"norwegian research council",3
"norwegian state educational loan fund",1
"norwegian university science technology",1
"novamems",1
"novartis",6
"novartis institute biomedical research",2
"novartis institute tropical disease",1
"novartis pharma ag",1
"novartis pharmaceuticals corporation",1
"novelis",1
"novo nordisk",2
"novozymes",1
"novus international",1
"nownano nanoscience",1
"nrp",1
"nserc",2
"nsf",2
"nuclear decommissioning agency",1
"nuclear decommissioning authority",11
"nuclear first",1
"nuffield department clinical medicine",1
"nuffield department medicine",3
"nuffield dominions trust",1
"nuffield foundation",6
"nuffield trust",2
"nui",1
"nuips scholarship",1
"numerical algorithms group",2
"nupis",1
"nuremberg",1
"nusaputra security services sdn bhd",1
"nuttery",1
"nuvia limited",1
"nwda",1
"obafemi awolowo university",2
"obra social la caixa",2
"ocdem oxford",1
"oerlikon graziano",1
"ofcom",1
"office applied research",1
"office educational affairs",1
"office information commissioner",1
"office naval research",6
"office nuclear regulation",2
"office research innovation development",1
"office scientific research",3
"ogun state",2
"ok-engineering gmbh",1
"okavango polers trust",1
"old centralians trust",1
"oliver bird",5
"ollege",1
"oman",5
"omar almokhtar university",1
"omya development ag",1
"omya international ag",1
"onassis foundation",2
"one north east",3
"onr",2
"open air laboratories",1
"open society foundation",3
"open society institute",1
"open university",10
"operation wallacea",1
"oppenheimer memorial trust",3
"optirisk systems",2
"oral dental research trust",5
"orange",1
"orange labs uk",1
"orcni ltd",1
"orica",1
"oriel college",3
"origins network",1
"orisha",1
"orla proteins technologies",1
"ors award scheme",1
"orsas",8
"orsas award",2
"orthopaedic research uk",3
"orthotist education training trust",1
"osk huttunen foundation",2
"oslo",1
"osprey",1
"oswestry",1
"others",1
"oticon s",1
"otto-von-guericke-universität magdeburg fakultät der medizin",1
"outokumpu research foundation",1
"ovarian cancer action",4
"overseas research scholarship",69
"owlstone",1
"oxfam",1
"oxford",3
"oxford-man institute quantitative finance",2
"oxford biotherapeutics",1
"oxford cambridge society hong kong",1
"oxford centre hebrew jewish studies",1
"oxford glycobiology institute",1
"oxford internet institute",1
"oxford martin school",3
"oxford university",6
"oxion",1
"oxleas nhs foundation trust",1
"oxylane research",2
"ozyegin universitesi",1
"p1vital",2
"paaet",2
"paaet kuwait",2
"padi foundation",1
"pahang",1
"pain relief foundation",1
"paintbox limited",1
"pais vasco",1
"pakistan",38
"pakistan institute engineering applied sciences",1
"palestinian telecommunication group",1
"pall life sciences",1
"pall medical",1
"panayiotis triantafillidis foundation",1
"pancare childhood adolescent cancer survivor care follow studies pancaresurfup",1
"pandm flanagan scholarship",1
"panepistemio athenon",1
"paragon law ltd",1
"parahyangan catholic university",1
"parallel patterns adaptive heterogeneous multicore systems",1
"parapsychological association usa",1
"paris",1
"parkes foundation",1
"parkinsons uk",5
"paros ltd",1
"parsons brinckerhoff",2
"partly sponsored corrosion protection centre",1
"partnership child development",1
"path",1
"pathological society great britain ireland",2
"paul hamlyn foundation",1
"paul mellon centre studies british art",1
"payap university",2
"pbm-fimbse",1
"pds",1
"peak district national park",1
"peel foundation",1
"peel medical research trust",1
"pembroke college",1
"pemex exploracion y produccion",1
"pendine park care organisation",1
"peninsula research institute marine renewable energy",1
"pennine acute hospitals nhs trust",1
"peoples trust endangered species",2
"pepsico",1
"pepsico inc",1
"perry foundation",6
"pertec international",1
"peshawar",2
"peshawar pakistan",1
"peter caws studentship social sciences",1
"peter harrison centre disability sport",1
"petra university",3
"petro´leo brasileiro s",1
"petroleum development oman",3
"petroleum development trust fund",1
"petroleum technology development fund",73
"petronas",3
"petrosa",1
"pfizer",13
"pfizer inc",3
"pfizer institute pharmaceutical materials science",1
"pfizer ltd",3
"pfizer pharmaceuticals",1
"pfizer uk",1
"pgr secure",1
"pharmacat consortium",1
"pharmacy directory",1
"pharmecosse",1
"phd research excellence framework",1
"philadelphia university",1
"philip bagby studentship",1
"philips",1
"philips research",1
"phillip nicholas trust",1
"phir",2
"phitsanulok",1
"phonak ag",1
"phosphor technology ltd",1
"photobiotics",1
"physical activity lifestyle biomedical research unit",1
"physical sciences imaging doctoral training centre",1
"physical sciences research council",1
"physiological society",1
"pieas",2
"pilkington energy efficiency trust",1
"pilkington group limited",1
"pilkington technology management ltd",1
"pirbright institute",3
"pitn-ga-2008-214919",1
"planning landscape",1
"planning portal",1
"plant integrity ltd",1
"platform scientific excellence",3
"plymouth",1
"plymouth daat",1
"plymouth marine laboratory",4
"plymouth university",8
"poc-enface",1
"polar oled",1
"polish air force association",1
"polish mps society",1
"political studies association united kingdom",1
"politics department",2
"politics sociology",4
"polonia aid foundation trust grant",1
"polymer irc",1
"pontificia universidad javeriana",1
"population council",1
"population services international",1
"port sunlight",2
"porter alliance",1
"porter institute",2
"porthcurno telegraph museum",2
"porticus",1
"portsmouth business school",1
"portsmouth hospitals nhs trust",1
"portsmouth royal dockyard historical trust",1
"portugal",9
"portuguese government",1
"posco",1
"power networks research academy",3
"poynton australia scholarship",1
"pparcstfc",1
"pr china",2
"praboromarajtchanok institute health workforce development",1
"pragmatic printing ltd",1
"presbyterian church canada",1
"presidents doctoral scholarship",1
"presidents emergency fund aids relief",1
"primare",1
"prime minister initiative",1
"prime ministers fund",1
"prime network excellence",1
"primerdesign uk ltd",1
"prince al-waleed al-saud award",1
"prince al-waleed award",1
"prince bernhard scholarship",1
"prince songkla university",1
"prince sultan military college health sciences",1
"princess nora bint abdulrahman university",2
"principality monaco",1
"principals career development scholarship",2
"principals excellence fund",1
"prins bernard cultuurfonds",9
"pro-nest",1
"pro cancer research fund",1
"process integration research consortium",1
"processnet",1
"proctor gamble",6
"professional aids council",1
"professional classes aid council",1
"professional golfers association",1
"professor galym mutanov east kazakhstan state technical university",1
"professor h c kitchener",1
"professor michael j gough",1
"programa formacion de capital humano avanzado conicyt",1
"programa operacional potencial humano",5
"programme alban",2
"project 100 haiphong city",1
"project 165 vietnam",1
"project fc1197",1
"project number mc206261 framework research program materials innovation institute m2i",1
"prolifica",1
"promep",1
"propondis foundation",1
"prosidion ltd",1
"prostate cancer charity",2
"protean electric",1
"protect",1
"ps sustainability ltd",1
"psu designs",1
"psychiatric research trust",1
"psychology department",1
"psychology division",1
"pta-031-2006-00277",1
"ptdf nigeria",2
"public authority applied education",17
"public authority training education",1
"public health agency canada",1
"public health england",7
"public health warwickshire",1
"public sector agency higher education funding 20045",1
"public service department",3
"public works department",1
"pulmonary rehabilitation research group",1
"purex international ltd",1
"pwc building control ltd",1
"qassim university",1
"qatar",1
"qatar carbonates carbon storage research centre",8
"qatar foundation",4
"qatar national research fund",2
"qatar petroleum",4
"qatar research national fund",1
"qatar science technology park",4
"qatar university",2
"qatari diar real estate development co",1
"qinetiq",11
"qinetiq plc",1
"qren-poph-type 41",1
"quantasol ltd",1
"quaternary research association",3
"queen alexandra hospital",1
"queen elizabeth hospital birmingham charity",1
"queen mary",4
"queens nursing institute scotland",1
"quiet revolution ltd",1
"rabin ezra fund",1
"rabin ezra scholarship fund",1
"rabin ezra scholarship trust",1
"rac foundation",1
"radboud university medical centre",1
"radboud wetenschappelijk onderwijsfonds",1
"radclife-brownsutasoma trust",1
"radcliffe-brown firth trust funds",1
"radcliffe-brown trust fundsutasoma award",1
"radhakrishnan memorial bequest",1
"radiochemistry group",1
"radius systems-uk",1
"radma",2
"radma lda",1
"raeng",1
"rail research uk association",2
"rajiv gandhi foundation",1
"ramat polytechnic maiduguri",1
"ramathibodi hospital",2
"rapiscan systems",3
"ras",1
"ratiu family foundation fellowship",1
"rawalpindi",1
"raynauds scleroderma association",1
"rcnde",1
"rcog",1
"rcuk",2
"rcuk digital economy hub social inclusion digital economy",1
"rcuk digital economy programme",4
"rec",1
"reckitt benckiser",2
"reconstructive surgery",1
"red project",3
"red rose forest",1
"reduction animals research",3
"rees jeffreys road fund",2
"refinement",1
"regional development agency",4
"regional development fund",18
"regione sardegna",1
"rein ulijn",1
"remedi",1
"renal association",2
"renephra limited",1
"renewable energy systems ltd",1
"renewableuk",1
"renishaw diagnostics ltd",1
"renishaw plc",1
"repregen ltd",1
"republic china",5
"republic indonesia",17
"republic iraq",18
"republic sudan",1
"republic turkey",8
"research",1
"research ageing",3
"research allergic disease immunology",1
"research autism",1
"research centre bv",1
"research centre nondestructive evaluation",2
"research complex harwell",1
"research council",1
"research council luxembourg",1
"research council norway",2
"research council uk",12
"research development management association",2
"research fellowship",1
"research institute cosmopolitan cultures",1
"research management governance unit nhs county durham",1
"research partnerships secure energy america",1
"research poverty alleviation",1
"research promotion foundation",6
"research scholar awards european nationals",1
"research school health life sciences",1
"research training network gladnet",1
"resmed",2
"resolutions ltd",1
"restore burn wound research",1
"retsas",1
"rett syndrome research trust",1
"rgs ibg",1
"rhodes scholarship",1
"rhodes trust",11
"ricardo uk ltd",1
"richard jack wiseman trust",1
"richard stapley trust",2
"richard thomas leukaemia fund",1
"ridley family fund",1
"ridley hall theological college",1
"rijksinstituut voor volksgezondheid en milieu",1
"rijksuniversiteit te gent",1
"riken",1
"rio tinto",4
"rio tinto limited",1
"rio tinto plc",5
"riotinto",1
"ripon college cuddesdon",1
"risk management institute",1
"rivers state",8
"riyadh",3
"rnoh via culyer grant system rikki khare benevolent fund",1
"robert gordon university",16
"robert jones agnes hunt orthopaedic hospital nhs trust",1
"robert luff foundation ltd",1
"robert packard centre",1
"robert robinson university trust fund",1
"roberto rocca education program",2
"roberts fund",1
"robin hooper fund",1
"robinson library bequest",1
"roche products limited",2
"roche products ltd",1
"rockefeller archive center",1
"rockfeller foundation trust grant",1
"rocktron research ltd",1
"rockwell collins",1
"rockwood additives ltd",1
"rocky appeal",1
"roehampton university",1
"roger sarah bancroft charitable trust",1
"roger sarah bancroft clark charitable trust",1
"rolf ursula schneider foundation",1
"roll-royce",1
"rolls-royce",76
"romax technology ltd",1
"romeo eu project",1
"rootstein hopkins foundation",1
"rosetrees trust",4
"rossi project grants ict 216125 ict 231722",1
"rotary club sedilo marghine centro sardegna",1
"rotech holdings ltd",1
"roth",1
"roth scholarship",2
"roth studentship",1
"rothamsted bioenergy climate change institute strategic programme grant",1
"rothamsted research",4
"rothermere american institute",3
"rothermere foundation",1
"rouse ball eddington fellowships",1
"rowett institute nutrition health",2
"rowlands foundation research scholarship",1
"royal academy engineering",10
"royal aeronautical society",4
"royal agricultural university",1
"royal anthropological institute",6
"royal botanic gardens",2
"royal brompton harefield nhs foundation trust",1
"royal brompton hospital",2
"royal college anaesthetists",2
"royal college chiropractors",1
"royal college midwives",1
"royal college ophthalmologists",1
"royal college pathologists",1
"royal college physicians",4
"royal college surgeons",19
"royal commission exhibition 1851",8
"royal devon exeter nhs foundation trust",1
"royal dutch shell",4
"royal economic society",7
"royal geographical society",5
"royal historical society",10
"royal holloway",3
"royal horticultural society",2
"royal institute philosophy",5
"royal institution chartered surveyors",1
"royal marsden charitable fund",1
"royal marsden hospital",2
"royal marsden nhs foundation trust",1
"royal marsden palliative care research fund",1
"royal national lifeboat institution",1
"royal society",37
"royal surrey county hospital",5
"royal thai embassy",2
"royal veterinary college",1
"royal victoria hospital",1
"royal zoological society scotland",1
"rp fighting blindness",1
"rps energy ltd",1
"rs microwave",1
"rsc",5
"rspb",1
"rtn",1
"rubin foundation",1
"rud otto meyer-umwelt-stiftung",1
"rufford small grants",3
"rugby football union",1
"ruggles-gates fund biological anthropology",1
"runnymede trust",1
"russell trust",7
"rutherford appleton laboratory",1
"rvi breast cancer appeal",2
"rwanda university",1
"rwe npower",2
"ryan stanford appeal",1
"s rajaratnam school international studies",1
"sabic",2
"sabp nhs trust",1
"sacb",1
"sackler scholarship",1
"saed",1
"safarah",1
"sages",1
"sai¨d business school",1
"saic motor coporation ltd",1
"saints educational trust",2
"saints parish church hoole",1
"salalah college technology",1
"saleh almutawa",1
"salford business school",1
"salford royal nhs foundation trust",1
"salford university fee waiver",1
"salmon trout association",1
"samantha dickinson brain tumour trust",1
"samil motor corporation",1
"samsung advanced institute technology",1
"san xia shui li shu niu",1
"sanfilippo childrens research foundation",1
"sanitas project",1
"sanitation hygiene applied research equity",1
"sanitation ventures",1
"sanofi-aventis",3
"sanofi pasteur",1
"santander",3
"santander uk",3
"sarah bancroft trust",1
"sarawak government",1
"sarcoma uk",1
"sardinia",1
"sasakawa foundation",2
"sasol technology uk",4
"sasp",1
"satha¯ban ¯kno¯lo¯yi¯ phra cho¯mklao witthaya khe¯t chaokhun thahan la¯tkrabang",1
"satr",1
"saudi airlines",1
"saudi arabia",129
"saudi aramco",7
"saudi basic industries corporation",1
"saudi culture bureau",3
"saudi electronic university",1
"saudi embassy",3
"saudi government",6
"saudi ministry education",5
"saudi royal embassy",1
"save seas foundation",1
"saving sight grampian",1
"sbe",1
"scania",1
"scarborough gastroenterology research fund",1
"scarborough north-east yorkshire health care nhs trust",1
"scast",1
"scatcherd european scholarship",4
"scg chemicals",1
"schering-plough",1
"schering-plough plc",1
"schistosomiasis control initiative",1
"schizophrenia association great britain",2
"schlumberger",1
"schlumberger faculty future foundation",1
"schlumberger foundation",2
"schlumberger gould research",1
"schlumberger limited",1
"scholarleaders international",1
"scholarship",1
"scholarship 206450",1
"scholarship cultural relations directorate",2
"scholarship e07d402641br",1
"school anthropology",1
"school architecture",1
"school arts",3
"school biology",2
"school built natural environment",1
"school business economics",4
"school chemical engineering",4
"school chemistry",6
"school civil building engineering",4
"school civil engineering",9
"school clinical laboratory sciences",1
"school computing science",3
"school creative cultural industries",1
"school dentistry",1
"school education",7
"school eee",1
"school eese",1
"school electrical electronic engineering",5
"school electronic",3
"school engineering",12
"school engineering business",1
"school engineering design",3
"school engineering materials science",1
"school engineering technology",1
"school english",3
"school english literature",2
"school environment development",4
"school forensic investigative sciences",1
"school geography",9
"school health",1
"school health population sciences",1
"school healthcare",1
"school history",4
"school humanities social sciences",1
"school information systems",1
"school international research scholarship",1
"school languages",1
"school law",3
"school life sciences",4
"school marine science engineering",2
"school mathematics",11
"school mce",7
"school mechanical",2
"school medical sciences",2
"school medicine",2
"school metallurgy materials",2
"school modern languages",7
"school nursing",3
"school pci",1
"school pharmacy",4
"school physics astronomy",2
"school primary care research",4
"school psychology",3
"school scholarship",2
"school social sciences",5
"school sport",5
"schools competition act settlement trust",1
"schwäbisch gmünd",1
"science",1
"science bridges project r108094",1
"science foundation ireland",1
"science heritage programme",1
"science museum",4
"science technologies facilities council",167
"science technology",1
"science technology laboratory",1
"scientific research university baghdad",1
"scimus solutions ltd",1
"scotch whisky association",1
"scotland ltd",1
"scotlands saltire scholarships",1
"scott neotropical fund cleveland metroparks zoo cleveland zoological society",1
"scott polar research institute",1
"scottish alliance geoscience",3
"scottish association marine science",9
"scottish doctoral training centre condensed matter physics",3
"scottish enterprise",1
"scottish environment protection agency",1
"scottish fishermens trust",1
"scottish funding council",11
"scottish government",10
"scottish hospital endowment research trust",1
"scottish imaging network",5
"scottish institute policing research",1
"scottish institute research economics",4
"scottish intracranial vascular malformation study research fellowship",1
"scottish national blood transfusion service",1
"scottish natural heritage",6
"scottish oceans institute",1
"scottish overseas research awards scheme",1
"scottish power",4
"scottish salmon producers organisation",1
"scottish southern energy",2
"scottish universities life science alliance",6
"scottish universities physics alliance",6
"scottish water",2
"scudd",1
"se controls",1
"sea mammal research unit",1
"seafish",2
"seale-hayne education trust",2
"searle scholarship",1
"seco tools",1
"secretari´ de educacio´n superior",1
"secretaria de educacion publica",1
"secretaría de educación pública",5
"secretaría de educación superior",1
"seed-core",1
"selex galileo",2
"self",2
"self-financed",1
"sellafield",1
"sellafield ltd",2
"semiconductor physics group cavendish laboratory",1
"sempre",1
"senacyt-ifarhu",1
"senacytifarhu",1
"seneca college applied arts technology",1
"sensapharm ltd",1
"sep",5
"sep-dgre",1
"sepnet",1
"sepnet astro",1
"serbia",1
"serco group plc",1
"serco technical services",1
"serco ts",1
"seren medical",1
"serono inc",1
"servicegap project",1
"servier laboratories ltd",1
"severn trent water",6
"sgm",1
"sha ziauddin trust",1
"shakespeare association america",1
"shale gas canada consortium",1
"shandong yingcai education trust",1
"shanghai pacific energy centre",1
"shanghai pujiang program",1
"share research consortium",1
"sharikah al-saudiyah lil-inaat al-asasiyah",1
"sharp laboratories europe",2
"shaukat khanam memorial cancer hospital research centre",1
"sheffield community enterprise development unit",1
"sheffield hallam university",1
"shell",7
"shell bp",1
"shell epts",1
"shell global",3
"shell international exploration production",3
"shell international ltd",5
"shell uk ltd",1
"shetland catch",1
"shetland islands coumcil",2
"shilliday refrigeration",1
"shkp-kwok",1
"sicsa",2
"side research hub",1
"siemens",2
"siemens energy",1
"siemens industrial turbo-machinery ab",1
"sigma xi",1
"sigrid juselius foundation",1
"silberrad scholarship",1
"silpakorn university",1
"simcyp ltd",2
"simon wolff charitable foundation",1
"simpleware",1
"sinapse",3
"sindri consortium",1
"singapore",15
"singapore health promotion board",1
"singapore management university",1
"singapore ministry education",1
"sino-british fellowship trust",1
"sintef",1
"sir alister hardy foundation ocean science",1
"sir bobby robson foundation",2
"sir halley stewart trust",1
"sir henry thomas junior research fellowship",1
"sir james knott trust",1
"sir john fisher foundation",1
"sir jules thorn trust",1
"sir kingsley dunham trust",1
"sir philip reckitt educational trust",2
"sir richard southwood graduate scholarship",1
"sir richard stapley educational trust",6
"sir thomas whites educational foundation",1
"sirte university",1
"sitekit solutions",1
"skf",3
"skf ab",1
"skf engineering research centre",2
"skin project",1
"skin treatment research trust",1
"skretting aquaculture research centre",1
"slai umkpt program",1
"sloane robinson foundation",1
"slough",1
"slovene human resources development scholarship fund",2
"slovenia",1
"sma trust",1
"smb aberystwyth",1
"smith nephew",2
"smithsonian tropical research institution",1
"smru marine",1
"snowdon trust",1
"sns reaal fonds",1
"social history society uk",1
"social science federation canada",1
"social sciences humanities",20
"social work social sciences",1
"société dassistance technique pour produits nestlé s",1
"society antiquaries scotland",1
"society applied microbiology",2
"society applied philosophy",1
"society chemical industry",1
"society church archaeology",1
"society college radiographers industry partnership scheme",1
"society dyers colourists",1
"society economic geologists",1
"society endocrinology",2
"society european festivals research",1
"society experimental biology",2
"society general microbiology",4
"society latin american studies",2
"society musicology ireland",1
"society protection turtles north cyprus",1
"society radiopharmaceutical sciences",1
"society renaissance studies",1
"society retreat conductors",1
"society study french history",3
"sodexo",1
"sogees",1
"soillse",1
"sokoto",1
"sola trust",1
"solvay",1
"solvay discovery program",1
"somerset primary care trust",1
"somerville college",2
"sonardyne international ltd",1
"sony computer entertainment europe ltd",1
"sorption measurement systems",1
"souls college",1
"south east physics network",1
"south korea",1
"south valley university",2
"south west essex community services",1
"south west water",2
"southside thermal sciences",1
"southwest doctoral training centre",2
"southwest thames institute renal research",1
"spalding trust",2
"spanish ministry education",1
"spd development company ltd",1
"special trustees newcastle hospitals",1
"speech signal processing",3
"spi lasers",1
"spirotech bv",1
"sport england",2
"sporting edge uk ltd",1
"sports",2
"spyros",1
"squ",1
"sre-sep",1
"sshoes",1
"ssrc-mellon foundation",1
"st andrews stirling joint programme philosophy",1
"st annes college",1
"st catherines college",4
"st helier hospital",1
"st jamess investments",1
"st john southworth fund",1
"st johns college",7
"st jude medical",1
"st lukes college foundation",1
"st marks hospital diseases rectum colon",2
"st marks hospital research foundation",1
"st marys paddington charitable trustees",1
"st stephens aids trust",1
"staffordshire university",1
"stanley burton scholarship",1
"stanley burton trust",1
"stanley medical research institute",2
"star",1
"star graduate academy",1
"state art prosthetics group",1
"state kuwait",6
"state scholarships foundation",23
"state university zanzibar",1
"states jersey",1
"statoil",2
